Iteration	Posterior	Likelihood	Prior	clock_bg	extirpation_rate[1]	extirpation_rate[2]	extirpation_rate[3]	dispersal_rate[1][1]	dispersal_rate[1][2]	dispersal_rate[2][1]	dispersal_rate[2][2]	dispersal_rate[3][1]	dispersal_rate[3][2]	allopatry_prob	sympatry_prob
0	-1631.92	-73.2426	-1558.68	0.169646	0.00272695	0.01857	0.0740698	0.0143064	0.100227	0.0486073	0.000948813	0.170546	0.0356327	0.513135	0.486865
1	-1628.94	-69.334	-1559.61	0.207665	0.00375954	0.01857	0.121389	0.0143064	0.100227	0.0486073	0.000948813	0.159045	0.0610667	0.312698	0.687302
2	-1624.03	-65.4502	-1558.58	0.16148	0.00530541	0.0157621	0.121389	0.00952684	0.0789711	0.0486073	0.000789275	0.12759	0.0610667	0.335489	0.664511
3	-1620.3	-62.3027	-1557.99	0.154693	0.00409138	0.0157621	0.121389	0.00952684	0.0666	0.0486073	0.000789275	0.0836709	0.0668934	0.335489	0.664511
4	-1618.36	-59.8558	-1558.5	0.156992	0.00482181	0.0101181	0.189462	0.00907367	0.0666	0.0486073	0.000673149	0.0836709	0.0527169	0.335489	0.664511
5	-1615.97	-56.9801	-1558.99	0.171891	0.00482181	0.00939986	0.243938	0.0061977	0.0666	0.0407495	0.000755	0.0746162	0.0527169	0.335489	0.664511
6	-1617.36	-58.8237	-1558.54	0.149016	0.00482181	0.00986452	0.16071	0.00412505	0.0962481	0.0407495	0.000755	0.0746162	0.0854253	0.335489	0.664511
7	-1616.4	-57.8179	-1558.58	0.19587	0.00482181	0.0131942	0.169318	0.00412505	0.0645995	0.0407495	0.000313188	0.0746162	0.0885399	0.159708	0.840292
8	-1614.43	-54.204	-1560.22	0.25754	0.0127585	0.0186274	0.268847	0.00412505	0.0534541	0.0407495	0.000313188	0.0755615	0.0885399	0.159708	0.840292
9	-1612.87	-53.3966	-1559.47	0.16201	0.0127585	0.0187765	0.268847	0.00412505	0.0547021	0.0407495	0.000313188	0.0583873	0.12447	0.159708	0.840292
10	-1611.59	-51.7337	-1559.86	0.268218	0.0190352	0.0187765	0.268847	0.00412505	0.0337055	0.0407495	0.000313188	0.0374064	0.12447	0.0771551	0.922845
11	-1610.88	-51.5203	-1559.36	0.227934	0.0229815	0.0187765	0.268847	0.00412505	0.0337055	0.0415895	0.000313188	0.0374064	0.12447	0.0566861	0.943314
12	-1614.18	-54.133	-1560.05	0.25039	0.0176225	0.0187765	0.268847	0.00412505	0.0337055	0.0634405	0.000179143	0.049502	0.12447	0.0838706	0.916129
13	-1612.5	-53.5703	-1558.93	0.17217	0.0139146	0.0121906	0.268847	0.00412505	0.0337055	0.0328539	0.000179143	0.0791808	0.12447	0.0517451	0.948255
14	-1612.2	-53.4336	-1558.76	0.135184	0.0139146	0.00995974	0.268847	0.00275811	0.0337055	0.0201176	0.000210557	0.0755269	0.12447	0.124914	0.875086
15	-1613.12	-53.015	-1560.1	0.19678	0.00751384	0.00995974	0.268814	0.00275811	0.0377531	0.0188734	0.000331231	0.0755269	0.200542	0.124914	0.875086
16	-1616.07	-54.6456	-1561.42	0.345468	0.00632497	0.00995974	0.33261	0.00270507	0.054099	0.0188734	0.000331231	0.0313203	0.200542	0.0406208	0.959379
17	-1610.68	-50.8859	-1559.79	0.195607	0.009384	0.00986081	0.33261	0.00221426	0.054099	0.0157781	0.000480069	0.0347265	0.184197	0.0406208	0.959379
