Iteration	Posterior	Likelihood	Prior	r_d	r_e
0	-41.5518	-37.7964	-3.7554	0.126085	3.62932
100	-38.5035	-37.4342	-1.06932	0.0789523	0.990368
200	-38.9509	-37.7243	-1.2266	0.176795	1.0498
300	-37.9543	-37.2075	-0.746779	0.0767532	0.670026
400	-37.6773	-36.9015	-0.775829	0.112967	0.662862
500	-41.4785	-37.7512	-3.72729	0.146096	3.5812
600	-38.2702	-37.2427	-1.02752	0.085451	0.942066
700	-39.4393	-37.8225	-1.61675	0.187128	1.42962
800	-37.9407	-37.0413	-0.899425	0.0923222	0.807103
900	-38.6373	-37.1474	-1.48997	0.135574	1.3544
1000	-37.2739	-36.7801	-0.49378	0.103171	0.39061
1100	-38.8222	-37.1881	-1.63414	0.111078	1.52306
1200	-40.8642	-39.7315	-1.13276	0.0422972	1.09046
1300	-40.0648	-39.2734	-0.791413	0.216695	0.574719
1400	-38.2211	-37.3104	-0.91071	0.0787888	0.831921
1500	-37.454	-36.8322	-0.621719	0.0961841	0.525535
1600	-39.9107	-37.4145	-2.49625	0.146637	2.34962
1700	-36.9517	-36.7236	-0.228164	0.0663691	0.161795
1800	-37.2496	-36.828	-0.421579	0.0766319	0.344947
1900	-40.3359	-37.4861	-2.84984	0.138001	2.71184
2000	-36.8928	-36.6312	-0.261552	0.0850821	0.17647
2100	-38.0805	-37.0096	-1.07093	0.123159	0.947773
2200	-40.2868	-37.653	-2.63378	0.173253	2.46053
2300	-36.9215	-36.7334	-0.188163	0.0942368	0.0939258
2400	-37.1148	-36.7622	-0.352627	0.075159	0.277468
2500	-36.9554	-36.7012	-0.254193	0.0951388	0.159054
2600	-38.7939	-37.242	-1.55191	0.146886	1.40503
2700	-37.7343	-37.5864	-0.147965	0.0395416	0.108423
2800	-38.3464	-37.2725	-1.07395	0.14931	0.924637
2900	-38.3605	-37.5404	-0.820166	0.0687453	0.751421
3000	-37.6274	-37.349	-0.278405	0.0502032	0.228202
3100	-37.1584	-36.7262	-0.43218	0.0940718	0.338108
3200	-39.9882	-37.64	-2.34818	0.175684	2.1725
3300	-38.7625	-37.8251	-0.937364	0.174746	0.762618
3400	-38.759	-37.266	-1.49301	0.0983593	1.39465
3500	-37.8856	-36.9909	-0.894655	0.124565	0.77009
3600	-37.9577	-36.9656	-0.992138	0.114431	0.877708
3700	-37.9321	-36.9966	-0.935503	0.124694	0.81081
3800	-36.8938	-36.7898	-0.104038	0.0896165	0.0144211
3900	-36.6969	-36.6175	-0.0794207	0.0632194	0.0162013
4000	-37.1502	-36.7672	-0.383093	0.0777037	0.305389
4100	-37.9714	-37.2137	-0.757673	0.0769542	0.680719
4200	-41.0079	-40.4905	-0.517496	0.226352	0.291144
4300	-36.6852	-36.5904	-0.0948611	0.0696417	0.0252194
4400	-39.6388	-37.4336	-2.2052	0.106822	2.09838
4500	-40.1605	-39.7135	-0.446963	0.0298228	0.41714
4600	-38.7478	-37.2932	-1.45465	0.0954739	1.35917
4700	-37.5632	-36.8836	-0.679574	0.113684	0.56589
4800	-37.3104	-36.782	-0.52835	0.100705	0.427645
4900	-38.4675	-37.4157	-1.05184	0.15779	0.89405
5000	-38.1449	-37.0599	-1.08503	0.130879	0.954147
5100	-36.8139	-36.6199	-0.193994	0.0844134	0.10958
5200	-37.7252	-37.0797	-0.645572	0.0775359	0.568036
5300	-36.7743	-36.6074	-0.166919	0.0704728	0.0964466
5400	-36.9227	-36.7755	-0.147242	0.0934292	0.0538133
5500	-37.9665	-37.0453	-0.921227	0.13047	0.790757
5600	-37.5431	-36.9089	-0.634138	0.117464	0.516674
5700	-37.5718	-37.1296	-0.442231	0.0647679	0.377463
5800	-37.266	-37.0958	-0.170258	0.0494938	0.120764
5900	-37.5081	-37.4174	-0.090635	0.0393452	0.0512898
6000	-37.6757	-37.1207	-0.55507	0.131157	0.423913
