Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
0	-10.5337	-24.5151	13.9814	0.459416	0.0470208	0.0704501	0.05931	0.237127	0.0372298	0.0459461	0.262844	0.0790194	0.112294	0.0225169	0.407381	0.133203
1	-8.73711	-24.862	16.1249	0.596782	0.0238822	0.0747637	0.05931	0.145512	0.0372298	0.0402521	0.262844	0.0157721	0.0773265	0.0225169	0.303863	0.0993555
2	-11.8461	-24.1227	12.2766	0.399974	0.0289054	0.0370616	0.05931	0.428137	0.186891	0.0402521	0.029925	0.252125	0.0773265	0.00430498	0.462972	0.137054
3	-11.0802	-23.758	12.6778	0.490792	0.041835	0.0240314	0.0192924	0.428137	0.186891	0.0402521	0.029925	0.252125	0.0773265	0.00430498	0.399177	0.110032
4	-8.72539	-23.6624	14.937	0.335968	0.0196105	0.0240314	0.0192924	0.428137	0.00263258	0.159939	0.029925	0.152345	0.0379821	0.00430498	0.611538	0.0524938
5	-8.02171	-24.066	16.0443	0.473946	0.0611856	0.00530682	0.0192924	0.331477	0.0478128	0.049565	0.0854135	0.103422	0.0379821	0.0260134	0.496836	0.029218
6	-13.1085	-24.1945	11.086	0.484139	0.0282122	0.00530682	0.241152	0.331477	0.0584589	0.049565	0.0671975	0.103422	0.0379821	0.340527	0.480472	0.0353884
7	-11.2253	-25.2796	14.0543	0.512131	0.0573789	0.0517172	0.241152	0.175558	0.0584589	0.049565	0.0671975	0.0110374	0.0379821	0.21642	0.117925	0.369944
8	-11.7747	-25.0281	13.2533	0.605123	0.0417695	0.161003	0.241152	0.186936	0.0584589	0.049565	0.160457	0.0910927	0.0104752	0.0456556	0.0954475	0.299429
9	-6.67463	-23.9205	17.2458	0.596505	0.0571181	0.0308648	0.0144933	0.235242	0.0584589	0.049565	0.0283511	0.0392614	0.0883057	0.0456556	0.326228	0.0772667
10	-12.4056	-23.5935	11.1879	0.671305	0.0223416	0.00988806	0.204109	0.37761	0.0584589	0.049565	0.271277	0.0392614	0.0883057	0.132291	0.241739	0.0869556
11	-15.2264	-27.8718	12.6454	0.407358	0.0150653	0.213585	0.204109	0.120398	0.0584589	0.049565	0.0368703	0.046973	0.0841376	0.278197	0.426357	0.166284
12	-11.9854	-26.6687	14.6833	0.356915	0.0762505	0.213585	0.034301	0.229791	0.0643343	0.0123292	0.0763795	0.0651719	0.107537	0.023894	0.23342	0.409665
13	-8.55833	-24.5513	15.993	0.435723	0.0377232	0.0654375	0.034301	0.285493	0.0643343	0.0123292	0.0763795	0.0651719	0.107537	0.023894	0.196605	0.367672
14	-10.7124	-27.0357	16.3234	0.126106	0.0456958	0.0666554	0.034301	0.285493	0.0643343	0.00012774	0.0763795	0.0798049	0.0675395	0.0192299	0.505605	0.368289
15	-8.3677	-26.365	17.9973	0.313786	0.0180089	0.00124486	0.034301	0.203349	0.131422	0.00012774	0.0763795	0.0205651	0.0675395	0.0192299	0.224583	0.461631
16	-6.75027	-25.9193	19.169	0.499511	0.0104212	0.000913745	0.034301	0.192359	0.0303137	0.000148794	0.0763795	0.0233932	0.0675395	0.0192299	0.140054	0.360435
17	-3.86021	-23.9861	20.1259	0.424216	0.0140038	0.00755425	0.034301	0.192359	0.0303137	4.82925e-05	0.0206739	0.0233932	0.0174297	0.0192299	0.336144	0.239639
18	-7.73499	-23.8429	16.1079	0.387988	0.0400594	0.00842567	0.128285	0.456456	0.0470982	5.86255e-05	0.0206739	0.0233932	0.0174297	0.0192299	0.516919	0.0950922
19	-7.29515	-23.8836	16.5885	0.35627	0.0297826	0.010059	0.128285	0.297817	0.0296226	5.86255e-05	0.0206739	0.167681	0.0174297	0.0116408	0.47466	0.16907
20	-15.5054	-30.1682	14.6628	0.278697	0.00781381	0.025647	0.128285	0.144358	0.0296226	5.86255e-05	0.0206739	0.167681	0.360134	0.0213453	0.384448	0.336855
21	-9.68057	-27.1106	17.43	0.15905	0.00781381	0.00503172	0.128285	0.346137	0.0296226	5.86255e-05	0.0206739	0.0344268	0.0385636	0.0182885	0.647458	0.193492
22	-17.3497	-27.1976	9.84793	0.52839	0.00983398	0.227964	0.128285	0.346137	0.323191	0.000311296	0.069333	0.0344268	0.0385636	0.209061	0.174323	0.297288
23	-17.4164	-28.8678	11.4514	0.291243	0.00814802	0.227964	0.128285	0.275114	0.323191	0.014637	0.0507699	0.016605	0.0385636	0.143479	0.359051	0.349706
24	-16.7138	-26.3771	9.66333	0.337053	0.0179994	0.110212	0.0277647	0.363888	0.323191	0.315185	0.0961928	0.0191091	0.0385636	0.0934602	0.374678	0.288269
25	-12.0452	-23.9209	11.8756	0.495727	0.0237192	0.056984	0.285423	0.442501	0.176555	0.030675	0.0961928	0.0191091	0.0325542	0.0206222	0.313384	0.190889
26	-14.0004	-24.236	10.2356	0.571978	0.0148381	0.175391	0.252621	0.42913	0.176555	0.030675	0.0961928	0.0191091	0.0667805	0.087052	0.353099	0.0749231
27	-8.0738	-23.059	14.9852	0.631407	0.0429449	0.0112949	0.0417964	0.33822	0.0194531	0.030675	0.0119612	0.101927	0.188058	0.087052	0.285886	0.0827076
