Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	clock_scale_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	er_mol[1]	er_mol[2]	er_mol[3]	er_mol[4]	er_mol[5]	er_mol[6]	gamma_rates[1]	gamma_rates[2]	gamma_rates[3]	gamma_rates[4]	pi_mol[1]	pi_mol[2]	pi_mol[3]	pi_mol[4]	subset_sympatry	widespread_sympatry
0	-13253.3	-13143.1	-110.248	0.390577	0.0305237	1.66226	0.145733	0.0122075	0.112111	0.13767	0.0846473	0.146275	0.116924	0.261898	0.0188589	0.00600943	0.429076	0.0254692	0.0309795	0.452695	0.055771	0.000806709	0.0415236	0.416442	3.54123	0.386237	0.351133	0.0634925	0.199137	0.579666	0.0297565
10	-13244.2	-13136.4	-107.796	0.478303	0.0212277	1.14683	0.0472854	0.145368	0.112111	0.396454	0.00282277	0.059967	0.000764098	0.0431899	0.0540974	0.00693452	0.417049	0.0268622	0.0163222	0.458591	0.074241	0.00100735	0.0463339	0.434867	3.51779	0.370495	0.364557	0.0625726	0.202375	0.0985451	0.423152
20	-13248.7	-13135.6	-113.15	0.110137	0.0467666	3.26311	0.0714599	0.0863789	0.0281833	0.228302	0.047965	0.0292401	0.293192	0.146768	0.00756931	0.0107207	0.390011	0.0345938	0.0326056	0.491862	0.0402066	0.00123764	0.0512826	0.452581	3.4949	0.375683	0.369742	0.0551562	0.19942	0.636356	0.253508
30	-13239.2	-13128.5	-110.655	0.455549	0.0351279	2.18336	0.0692803	0.104166	0.0194637	0.260353	0.0358951	0.294186	0.0531516	0.028476	0.00495228	0.0103004	0.428233	0.0273033	0.0276865	0.4459	0.0605769	0.000828093	0.0420635	0.418575	3.53853	0.365163	0.362819	0.0583858	0.213631	0.453494	0.0909574
40	-13243.2	-13134.6	-108.584	0.631283	0.01324	0.878731	0.114519	0.0023982	0.0753684	0.0965628	0.00252143	0.0392426	0.283757	0.0411207	0.104509	0.0105148	0.427217	0.0278716	0.0372033	0.439599	0.0575937	0.001592	0.0580481	0.475093	3.46527	0.376638	0.35517	0.0570205	0.211172	0.313309	0.0554076
50	-13252.7	-13148	-104.726	0.690789	0.0115739	0.813442	0.0224437	0.109455	0.0597987	0.0593539	0.0368497	0.0681022	0.0115521	0.067187	0.059079	0.0142799	0.430017	0.0359031	0.0148175	0.44616	0.0588223	0.00320019	0.0817486	0.542528	3.37252	0.364709	0.35287	0.0674944	0.214927	0.299753	0.00945783
60	-13246.2	-13135.2	-111.035	0.518285	0.034834	2.01338	0.0434273	0.176188	0.138895	0.29396	0.0563917	0.0102289	0.264436	0.049178	0.00275933	0.0139826	0.373156	0.0243169	0.0322144	0.51507	0.0412604	0.00113008	0.049036	0.444682	3.50515	0.382616	0.346113	0.0655456	0.205725	0.28079	0.200926
70	-13241.8	-13132.7	-109.042	0.672386	0.0500589	2.83869	0.130026	0.113059	0.00351822	0.157707	0.00738445	0.204135	0.0248145	0.049178	0.100046	0.011445	0.358371	0.0322267	0.025379	0.521285	0.0512936	0.00109447	0.0482683	0.44193	3.50871	0.362715	0.367578	0.0624426	0.207263	0.208605	0.119008
80	-13249	-13138.5	-110.453	0.53947	0.028299	1.72041	0.232721	0.0543542	0.149769	0.142226	0.0159992	0.0596786	0.0527195	0.234885	0.159231	0.00656459	0.406874	0.0299069	0.0392083	0.454889	0.062557	0.00163535	0.05882	0.477551	3.46199	0.367316	0.357178	0.0620879	0.213418	0.291217	0.169313
90	-13236.7	-13131.4	-105.374	0.167472	0.0224635	1.31687	0.0229598	0.113329	0.0461473	0.0462424	0.0159992	0.129997	0.100174	0.0650641	0.0316797	0.0106878	0.398207	0.0282527	0.0265392	0.472048	0.0642659	0.00142426	0.0549542	0.465022	3.4786	0.367866	0.367078	0.0588066	0.206249	0.46474	0.367788
