Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
0	-22.4201	-27.4871	5.06705	0.467248	0.0257008	0.0946104	0.0946104	0.0946104	0.0946104	0.0946104	0.0946104	0.133074	0.133074	0.133074	0.374328	0.158424
1	-20.9835	-26.6806	5.69717	0.699305	0.0715429	0.0530384	0.0530384	0.0530384	0.0530384	0.0530384	0.0530384	0.0657924	0.0657924	0.0657924	0.121022	0.179673
2	-23.9955	-28.7489	4.75333	0.426518	0.0525019	0.0530384	0.0530384	0.0530384	0.0530384	0.0530384	0.0530384	0.179217	0.179217	0.179217	0.162095	0.411387
3	-21.4597	-28.0007	6.54101	0.502812	0.0725643	0.0270212	0.0270212	0.0270212	0.0270212	0.0270212	0.0270212	0.0064041	0.0064041	0.0064041	0.012213	0.484975
4	-19.1038	-26.2313	7.12749	0.557636	0.0319355	0.00900155	0.00900155	0.00900155	0.00900155	0.00900155	0.00900155	0.0064041	0.0064041	0.0064041	0.298148	0.144216
5	-19.1222	-25.9837	6.86142	0.798364	0.0229553	0.0413616	0.0413616	0.0413616	0.0413616	0.0413616	0.0413616	0.0096315	0.0096315	0.0096315	0.0242154	0.177421
6	-18.6991	-25.2021	6.50297	0.812809	0.0305373	0.0724994	0.0724994	0.0724994	0.0724994	0.0724994	0.0724994	0.00675653	0.00675653	0.00675653	0.0342674	0.152923
7	-22.6799	-27.7937	5.11374	0.4363	0.0211414	0.0920425	0.0920425	0.0920425	0.0920425	0.0920425	0.0920425	0.135532	0.135532	0.135532	0.447633	0.116067
8	-21.7295	-27.166	5.43647	0.291491	0.0403173	0.0813537	0.0813537	0.0813537	0.0813537	0.0813537	0.0813537	0.0947725	0.0947725	0.0947725	0.597642	0.110867
9	-21.7409	-25.6545	3.91367	0.532467	0.0434233	0.230528	0.230528	0.230528	0.230528	0.230528	0.230528	0.0947725	0.0947725	0.0947725	0.426041	0.041492
10	-20.9015	-26.5099	5.60841	0.525851	0.0565511	0.116675	0.116675	0.116675	0.116675	0.116675	0.116675	0.0260229	0.0260229	0.0260229	0.2403	0.233849
11	-22.4851	-25.8566	3.37151	0.80971	0.0324431	0.209753	0.209753	0.209753	0.209753	0.209753	0.209753	0.180743	0.180743	0.180743	0.154586	0.0357033
12	-21.1397	-25.8578	4.71802	0.770239	0.0642811	0.214471	0.214471	0.214471	0.214471	0.214471	0.214471	0.00953544	0.00953544	0.00953544	0.186652	0.0431092
13	-20.4775	-25.4292	4.95172	0.488936	0.0307762	0.214471	0.214471	0.214471	0.214471	0.214471	0.214471	0.0196708	0.0196708	0.0196708	0.483699	0.0273651
14	-20.5663	-27.1008	6.53455	0.366166	0.0469263	0.040038	0.040038	0.040038	0.040038	0.040038	0.040038	0.0196708	0.0196708	0.0196708	0.314598	0.319237
15	-23.0805	-26.9487	3.86821	0.477038	0.0375923	0.256957	0.256957	0.256957	0.256957	0.256957	0.256957	0.0787192	0.0787192	0.0787192	0.0910155	0.431946
16	-22.3019	-26.6742	4.37231	0.500983	0.0431288	0.256957	0.256957	0.256957	0.256957	0.256957	0.256957	0.0227729	0.0227729	0.0227729	0.142327	0.35669
17	-21.827	-27.6238	5.79681	0.532657	0.0281191	0.059367	0.059367	0.059367	0.059367	0.059367	0.059367	0.0929231	0.0929231	0.0929231	0.250484	0.216859
