#RevBayes version (1.0.2)
#Build from development (ac3593) on Mon Oct 17 10:49:29 CDT 2016
Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][1][1]	d[1][1][2]	d[1][1][3]	d[1][2][1]	d[1][2][2]	d[1][2][3]	d[1][3][1]	d[1][3][2]	d[1][3][3]	d[2][1][1]	d[2][1][2]	d[2][1][3]	d[2][2][1]	d[2][2][2]	d[2][2][3]	d[2][3][1]	d[2][3][2]	d[2][3][3]	e[1][1]	e[1][2]	e[1][3]	e[2][1]	e[2][2]	e[2][3]	rates[1]	rates[2]	subset_sympatry	widespread_sympatry
0	23.8864	-0.154151	24.0406	0.511638	0.0755314	0	0.0369604	0	0.00099661	0	0	0.002884	0.0676728	0	0	0.188062	0	0.00282687	0	0	0.0219371	0.0147246	0	0.0282228	0.0144425	0.0255326	0.00865131	0.00312076	0.00486241	2.01778	0.864561	0.288076	0.200287
1	24.6749	-0.154151	24.829	0.114905	0.10096	0	0.157604	0	0.00099661	0	0	0.00344883	0.105075	0	0	0.215728	0	0.00416623	0	0	0.0137774	0.00963745	0	0.0185948	0.0144425	0.0147952	0.0120807	0.00341122	0.0044371	1.50508	0.864561	0.707957	0.177139
2	26.41	-0.154151	26.5642	0.194249	0.0788273	0	0.158682	0	0.000523612	0	0	0.00295565	0.0647988	0	0	0.193014	0	0.00269638	0	0	0.0150599	0.00963745	0	0.0199822	0.0114429	0.0147952	0.0099555	0.00246537	0.00590439	1.18087	0.918274	0.644492	0.161259
3	26.949	-0.154151	27.1031	0.10727	0.0433705	0	0.204306	0	0.000445164	0	0	0.00352303	0.0569269	0	0	0.172635	0	0.00479734	0	0	0.010712	0.0116822	0	0.00822727	0.0151769	0.0206444	0.00738337	0.00351652	0.00949981	1.38602	0.79797	0.838396	0.0543346
4	28.0566	-0.154151	28.2108	0.244899	0.0620021	0	0.172344	0	0.000501448	0	0	0.00352303	0.0569269	0	0	0.172411	0	0.00414492	0	0	0.00473858	0.0143998	0	0.0127557	0.010417	0.0213459	0.00579803	0.00485775	0.011379	1.03139	0.79797	0.678483	0.0766181
5	25.6797	-0.154151	25.8339	0.429487	0.0685323	0	0.261964	0	0.000495342	0	0	0.00212772	0.0569269	0	0	0.172411	0	0.00476718	0	0	0.00680994	0.0131173	0	0.00781898	0.0152565	0.0185878	0.00579803	0.00460762	0.0111879	1.66579	1.18672	0.538475	0.0320375
6	25.6751	-0.154151	25.8292	0.612505	0.0432344	0	0.202769	0	0.000365156	0	0	0.0020281	0.0569269	0	0	0.105785	0	0.00476718	0	0	0.0045467	0.0163583	0	0.00781898	0.0157571	0.0190917	0.00787943	0.00209626	0.00914441	2.45785	0.723494	0.320661	0.0668343
7	27.929	-0.154151	28.0832	0.107496	0.0681817	0	0.133484	0	0.000365156	0	0	0.00134422	0.0795435	0	0	0.0740503	0	0.00508415	0	0	0.00541362	0.0163583	0	0.004536	0.0100073	0.0135021	0.00673043	0.00465403	0.0143439	1.93274	0.723494	0.888171	0.00433356
8	25.7027	-0.154151	25.8569	0.55576	0.183102	0	0.148842	0	0.000329809	0	0	0.000573134	0.0823447	0	0	0.113573	0	0.00327076	0	0	0.00356462	0.00668921	0	0.00848546	0.0142893	0.0236868	0.00673043	0.00369578	0.0126851	0.872565	0.496641	0.441279	0.00296128
9	24.5097	-0.154151	24.6638	0.540825	0.117142	0	0.148842	0	0.000233164	0	0	0.000396194	0.0747483	0	0	0.113573	0	0.0028075	0	0	0.00628599	0.00383327	0	0.00989337	0.014921	0.0430924	0.0031041	0.00310614	0.0140959	0.872565	0.496641	0.457976	0.00119935
10	21.1495	-0.154151	21.3036	0.934831	0.118345	0	0.119816	0	0.000293534	0	0	0.000396194	0.0906686	0	0	0.131118	0	0.00213235	0	0	0.00496664	0.00459667	0	0.0154181	0.0306552	0.0430924	0.0031041	0.00213549	0.0184291	1.26124	0.457425	0.0649737	0.000194948
11	22.8003	-0.154151	22.9544	0.934831	0.0609103	0	0.0765201	0	0.00138627	0	0	0.000229608	0.163476	0	0	0.191859	0	0.00123337	0	0	0.00496664	0.0116112	0	0.00902054	0.0317835	0.03068	0.00372666	0.00229236	0.0143291	2.13263	0.474248	0.0649737	0.000194948
12	24.1619	-0.154151	24.3161	0.966405	0.0498965	0	0.065765	0	0.00267459	0	0	0.000209067	0.108413	0	0	0.249525	0	0.00180661	0	0	0.00496664	0.0116841	0	0.00551115	0.0282918	0.0293836	0.00321964	0.00286804	0.00918641	1.62119	0.518346	0.033305	0.000289971
13	25.8384	-0.154151	25.9926	0.826957	0.0188661	0	0.065765	0	0.00153587	0	0	0.000111965	0.108413	0	0	0.185718	0	0.00180661	0	0	0.00428389	0.00862065	0	0.00551115	0.0282918	0.0293836	0.00377301	0.00237021	0.0106703	1.62119	0.464741	0.171386	0.00165706
14	25.3075	-0.154151	25.4616	0.821035	0.0245934	0	0.0608851	0	0.00275055	0	0	0.000177793	0.0936841	0	0	0.216219	0	0.00195822	0	0	0.010204	0.0110733	0	0.00551115	0.0251888	0.0293836	0.00265823	0.00320004	0.011463	1.71115	0.34426	0.170158	0.00880714
15	20.7859	-0.154151	20.94	0.821035	0.0347941	0	0.0706848	0	0.00303638	0	0	0.000182428	0.0847776	0	0	0.0927156	0	0.00265136	0	0	0.0114529	0.0116046	0	0.00551115	0.0200648	0.0434313	0.00265823	0.00265811	0.00753537	3.3393	0.460023	0.170158	0.00880714
16	24.4755	-0.154151	24.6297	0.999373	0.0221816	0	0.0940072	0	0.002264	0	0	0.000274171	0.0847776	0	0	0.0703784	0	0.00217553	0	0	0.00656824	0.00938476	0	0.00660099	0.021726	0.030303	0.00187434	0.00333822	0.00753537	2.49203	0.576599	0.000624392	2.64151e-06
17	26.0906	-0.154151	26.2447	0.999373	0.0307499	0	0.224777	0	0.00247528	0	0	0.000496503	0.0712864	0	0	0.0992999	0	0.00161268	0	0	0.00656824	0.00486289	0	0.00756281	0.0199993	0.0254511	0.00187434	0.0132736	0.00613727	1.64107	0.576599	0.000624392	2.64151e-06
18	27.9184	-0.154151	28.0726	0.999013	0.0311986	0	0.224777	0	0.00298538	0	0	0.00052318	0.0712864	0	0	0.144202	0	0.00204969	0	0	0.00325251	0.00844381	0	0.00838299	0.0199993	0.0223249	0.00144884	0.00899526	0.00656486	1.8016	0.379594	0.000983065	3.69482e-06
19	28.9854	-0.154151	29.1396	0.99625	0.0327285	0	0.207005	0	0.00343607	0	0	0.000625831	0.0785036	0	0	0.244103	0	0.00229186	0	0	0.00159917	0.00844381	0	0.00744762	0.0124419	0.0200678	0.00108295	0.00467801	0.00510842	1.52543	0.302406	0.00374639	3.6846e-06
20	24.7388	-0.154151	24.893	0.941489	0.0731302	0	0.207005	0	0.00237118	0	0	0.000625831	0.131371	0	0	0.459605	0	0.0016931	0	0	0.00106752	0.00739447	0	0.00982085	0.00834528	0.0225101	0.00147205	0.00472446	0.00820426	1.52543	0.68388	0.0584927	1.88162e-05
21	23.0095	-0.154151	23.1636	0.685695	0.0458462	0	0.25149	0	0.00194226	0	0	0.00101128	0.165366	0	0	0.459605	0	0.0028665	0	0	0.00105043	0.00795192	0	0.00982085	0.00641673	0.0144934	0.00147205	0.00472446	0.00610002	2.14423	1.36528	0.31415	0.000155542
22	22.1725	-0.154151	22.3266	0.572994	0.0725092	0	0.42735	0	0.00328101	0	0	0.00154255	0.120758	0	0	0.283868	0	0.00301949	0	0	0.000895045	0.0130695	0	0.00946717	0.00791164	0.0144934	0.000995771	0.00364407	0.00928407	1.93265	1.09868	0.425993	0.00101275
