#RevBayes version (1.0.2)
#Build from development (bd7075) on Sun Sep 25 19:04:16 PDT 2016
Iteration	Posterior	Likelihood	Prior	allopatry	clock_bg	d[1][2]	d[1][3]	d[2][1]	d[2][3]	d[3][1]	d[3][2]	e[1]	e[2]	e[3]	subset_sympatry	widespread_sympatry
0	7.00545	-0.155502	7.16095	0.19821	0.0119285	0.0287975	0.0287975	0.0287975	0.0287975	0.0287975	0.0287975	0.00326957	0.00326957	0.00326957	0.737859	0.0639316
1	0.0883524	-2.54057	2.62892	0.19821	0.444062	0.0273429	0.0273429	0.0273429	0.0273429	0.0273429	0.0273429	0.025793	0.025793	0.025793	0.0639316	0.737859
2	5.08204	-1.02368	6.10571	0.0639316	0.0971553	0.0233581	0.0233581	0.0233581	0.0233581	0.0233581	0.0233581	0.0290054	0.0290054	0.0290054	0.737859	0.19821
3	6.31086	-0.434426	6.74528	0.19821	0.0335971	0.0233581	0.0233581	0.0233581	0.0233581	0.0233581	0.0233581	0.0286068	0.0286068	0.0286068	0.0639316	0.737859
4	5.96698	-0.191461	6.15844	0.0639316	0.0129017	0.0941422	0.0941422	0.0941422	0.0941422	0.0941422	0.0941422	0.0372026	0.0372026	0.0372026	0.19821	0.737859
5	5.09381	-1.38835	6.48216	0.0639316	0.0791575	0.00389639	0.00389639	0.00389639	0.00389639	0.00389639	0.00389639	0.0288208	0.0288208	0.0288208	0.737859	0.19821
6	-0.536526	-1.07489	0.538365	0.19821	0.0601327	0.0942195	0.0942195	0.0942195	0.0942195	0.0942195	0.0942195	0.551902	0.551902	0.551902	0.737859	0.0639316
7	4.57632	-0.185495	4.76181	0.19821	0.019471	0.220765	0.220765	0.220765	0.220765	0.220765	0.220765	0.0436728	0.0436728	0.0436728	0.0639316	0.737859
8	2.46109	-0.61618	3.07727	0.19821	0.0326859	0.0516231	0.0516231	0.0516231	0.0516231	0.0516231	0.0516231	0.368054	0.368054	0.368054	0.0639316	0.737859
9	1.00227	-0.259971	1.26224	0.0639316	0.0119031	0.253909	0.253909	0.253909	0.253909	0.253909	0.253909	0.368054	0.368054	0.368054	0.737859	0.19821
10	5.39939	-0.468438	5.86783	0.0639316	0.0225209	0.0264853	0.0264853	0.0264853	0.0264853	0.0264853	0.0264853	0.124301	0.124301	0.124301	0.737859	0.19821
11	3.65911	-0.260565	3.91967	0.19821	0.0156195	0.194783	0.194783	0.194783	0.194783	0.194783	0.194783	0.15772	0.15772	0.15772	0.737859	0.0639316
12	6.74803	-0.146115	6.89414	0.737859	0.000664276	0.00247326	0.00247326	0.00247326	0.00247326	0.00247326	0.00247326	0.0675385	0.0675385	0.0675385	0.19821	0.0639316
13	6.60386	-0.137375	6.74123	0.19821	0.000336975	0.0280195	0.0280195	0.0280195	0.0280195	0.0280195	0.0280195	0.0576107	0.0576107	0.0576107	0.0639316	0.737859
14	4.38537	-1.19945	5.58482	0.19821	0.0762123	0.0280195	0.0280195	0.0280195	0.0280195	0.0280195	0.0280195	0.0973764	0.0973764	0.0973764	0.737859	0.0639316
15	2.40401	-0.226154	2.63016	0.737859	0.00498279	0.0280195	0.0280195	0.0280195	0.0280195	0.0280195	0.0280195	0.464072	0.464072	0.464072	0.0639316	0.19821
16	2.49987	-0.800196	3.30006	0.0639316	0.35887	0.0559569	0.0559569	0.0559569	0.0559569	0.0559569	0.0559569	0.0152571	0.0152571	0.0152571	0.19821	0.737859
17	5.70381	-0.684088	6.38789	0.737859	0.043404	0.0265216	0.0265216	0.0265216	0.0265216	0.0265216	0.0265216	0.0513751	0.0513751	0.0513751	0.0639316	0.19821
18	3.66915	-1.70338	5.37253	0.0639316	0.099077	0.00545577	0.00545577	0.00545577	0.00545577	0.00545577	0.00545577	0.118305	0.118305	0.118305	0.19821	0.737859
19	4.25911	-1.42553	5.68463	0.737859	0.0869166	0.0232984	0.0232984	0.0232984	0.0232984	0.0232984	0.0232984	0.0814117	0.0814117	0.0814117	0.0639316	0.19821
20	5.94145	-0.382426	6.32388	0.737859	0.0869166	0.0340174	0.0340174	0.0340174	0.0340174	0.0340174	0.0340174	0.00676866	0.00676866	0.00676866	0.19821	0.0639316
21	6.08431	-0.262759	6.34707	0.0639316	0.0219785	0.064566	0.064566	0.064566	0.064566	0.064566	0.064566	0.038839	0.038839	0.038839	0.19821	0.737859
22	5.56379	-0.496943	6.06073	0.0639316	0.0263739	0.0191515	0.0191515	0.0191515	0.0191515	0.0191515	0.0191515	0.108492	0.108492	0.108492	0.19821	0.737859
23	3.97498	-0.689393	4.66437	0.0639316	0.0670378	0.114822	0.114822	0.114822	0.114822	0.114822	0.114822	0.111793	0.111793	0.111793	0.737859	0.19821
24	5.51471	-0.956172	6.47088	0.737859	0.0670378	0.0162079	0.0162079	0.0162079	0.0162079	0.0162079	0.0162079	0.0297561	0.0297561	0.0297561	0.0639316	0.19821
25	4.38195	-1.18888	5.57083	0.737859	0.0610582	0.0162079	0.0162079	0.0162079	0.0162079	0.0162079	0.0162079	0.125741	0.125741	0.125741	0.0639316	0.19821
26	5.74651	-0.315373	6.06189	0.0639316	0.0125494	0.0156113	0.0156113	0.0156113	0.0156113	0.0156113	0.0156113	0.125741	0.125741	0.125741	0.19821	0.737859
27	5.11454	-0.245501	5.36005	0.0639316	0.0700564	0.138212	0.138212	0.138212	0.138212	0.138212	0.138212	0.0158168	0.0158168	0.0158168	0.737859	0.19821
28	2.73101	-0.33277	3.06378	0.0639316	0.0162212	0.138212	0.138212	0.138212	0.138212	0.138212	0.138212	0.299278	0.299278	0.299278	0.737859	0.19821
29	5.64019	-0.140326	5.78052	0.19821	0.00119022	0.12505	0.12505	0.12505	0.12505	0.12505	0.12505	0.0557977	0.0557977	0.0557977	0.737859	0.0639316
30	5.65033	-0.134774	5.7851	0.19821	0.000518148	0.155421	0.155421	0.155421	0.155421	0.155421	0.155421	0.0256409	0.0256409	0.0256409	0.0639316	0.737859
31	5.44119	-0.15509	5.59628	0.0639316	0.00414016	0.133102	0.133102	0.133102	0.133102	0.133102	0.133102	0.0632197	0.0632197	0.0632197	0.19821	0.737859
32	4.98693	-0.316956	5.30389	0.19821	0.0171649	0.0763429	0.0763429	0.0763429	0.0763429	0.0763429	0.0763429	0.136193	0.136193	0.136193	0.0639316	0.737859
