Iteration	Posterior	Likelihood	Prior	r_gain	r_loss	dp	widespread_sympatry	subset_sympatry	allopatry	clock_bg
0	-1932.07	-1935.18	3.11274	0.146055	0.853945	0.0126115	0.202325	0.685336	0.11234	0.0597136
10	-504.052	-508.246	4.19442	0.0509341	0.949066	0.00379468	0.0938059	0.533319	0.372875	0.02954
20	-383.407	-390.316	6.90855	0.0483523	0.951648	0.00193262	0.00519518	0.598918	0.395887	0.0204042
30	-267.365	-272.237	4.87201	0.0345088	0.965491	0.000855652	0.0528123	0.708675	0.238512	0.0164235
40	-211.169	-214.939	3.76988	0.0533795	0.946621	0.000753653	0.192007	0.733692	0.0743004	0.0105679
50	-207.172	-211.04	3.86809	0.0582806	0.941719	0.00160929	0.163985	0.292522	0.543492	0.014089
60	-206.794	-210.3	3.50593	0.0608087	0.939191	0.00036418	0.256537	0.423301	0.320162	0.0112762
70	-183.721	-187.552	3.83161	0.141395	0.858605	5.58443e-05	0.189913	0.514089	0.295998	0.00607974
80	-178.701	-182.491	3.79003	0.118757	0.881243	0.000230964	0.19497	0.685671	0.119359	0.0076977
90	-171	-174.213	3.21318	0.189999	0.810001	0.00076174	0.377042	0.576369	0.046589	0.00549539
100	-169.671	-173.054	3.38327	0.199053	0.800947	0.00194837	0.309225	0.33046	0.360315	0.00514594
110	-160.785	-163.429	2.64415	0.223092	0.776908	0.00109571	0.730674	0.127288	0.142038	0.00251943
120	-157.887	-162.353	4.46671	0.256797	0.743203	0.000604733	0.0961902	0.392421	0.511389	0.00324198
130	-157.783	-162.531	4.74844	0.20454	0.79546	0.00177048	0.0677108	0.453252	0.479037	0.0055011
140	-152.286	-156.542	4.25572	0.276834	0.723166	0.00237104	0.119713	0.385722	0.494565	0.00288598
150	-154.981	-158	3.01906	0.367632	0.632368	0.00175944	0.481154	0.325952	0.192894	0.00196498
160	-154.245	-157.351	3.10578	0.351189	0.648811	0.00682634	0.40962	0.333783	0.256597	0.0027125
170	-153.499	-157.491	3.99226	0.329445	0.670555	0.0316264	0.116282	0.674258	0.209461	0.00259357
180	-153.939	-157.775	3.83587	0.320825	0.679175	0.05542	0.106736	0.319596	0.573668	0.0021485
190	-143.78	-149.628	5.84849	0.149035	0.850965	0.233314	0.00156477	0.698723	0.299712	0.00302787
200	-143.611	-146.408	2.79673	0.300899	0.699101	0.522958	0.00186978	0.723692	0.274438	0.00253199
210	-142.831	-147.838	5.00651	0.365178	0.634822	0.383028	0.000762732	0.450849	0.548389	0.00218453
220	-146.409	-147.959	1.54982	0.535479	0.464521	0.726762	0.0007864	0.458917	0.540297	0.00136968
230	-142.737	-150.129	7.3923	0.601416	0.398584	0.420113	3.58669e-05	0.476416	0.523549	0.00165925
240	-152.42	-152.197	-0.223076	0.674304	0.325696	0.974358	0.000355525	0.383924	0.61572	0.00251146
250	-140.758	-148.655	7.89739	0.283693	0.716307	0.203049	0.000225552	0.576197	0.423577	0.0027277
260	-141.284	-149.19	7.90595	0.234396	0.765604	0.125544	0.000522132	0.44325	0.556228	0.00383332
270	-144.459	-150.241	5.78235	0.396112	0.603888	0.13701	0.0049526	0.377447	0.617601	0.00225071
280	-145.113	-150.473	5.35969	0.499146	0.500854	0.244372	0.00241395	0.249301	0.748285	0.00183209
290	-148.035	-145.469	-2.5661	0.380202	0.619798	0.928072	0.00811491	0.953856	0.0380289	0.00159196
300	-147.627	-144.856	-2.77116	0.494347	0.505653	1.07813	0.00191909	0.560346	0.437734	0.00180889
310	-146.058	-148.118	2.0593	0.491922	0.508078	0.58932	0.00205124	0.54806	0.449889	0.00157669
320	-146.994	-154.155	7.16134	0.338948	0.661052	0.442387	3.58653e-05	0.714096	0.285868	0.00248518
330	-151.285	-151.238	-0.0467306	0.401052	0.598948	1.01771	0.000180543	0.868165	0.131655	0.00251352
340	-153.551	-152.845	-0.705719	0.331415	0.668585	0.627349	0.0283613	0.818564	0.153075	0.0036577
350	-150.483	-152.905	2.42189	0.12335	0.87665	0.408805	0.00986913	0.96197	0.0281613	0.00444657
360	-154.792	-150.052	-4.73981	0.285308	0.714692	0.889856	0.135571	0.479617	0.384812	0.00375756
370	-152.832	-154.243	1.41028	0.218547	0.781453	0.194549	0.32991	0.386824	0.283266	0.00401678
380	-154.376	-155.192	0.81587	0.185963	0.814037	0.241683	0.378691	0.183617	0.437693	0.00391299
390	-153.905	-154.488	0.583567	0.340089	0.659911	0.320768	0.206475	0.403382	0.390143	0.00264637
400	-154.957	-157.148	2.19109	0.297129	0.702871	0.113208	0.348809	0.372467	0.278724	0.00226282
410	-170.751	-173.539	2.78819	0.518955	0.481045	0.0306901	0.449468	0.508852	0.0416801	0.00225247
420	-167.9	-169.951	2.05039	0.300435	0.699565	0.0957677	0.48412	0.264113	0.251767	0.00427092
430	-157.311	-157.262	-0.0491649	0.505127	0.494873	0.365937	0.252725	0.302295	0.44498	0.00255995
440	-155.866	-154.896	-0.970304	0.471419	0.528581	0.448836	0.282667	0.687088	0.0302448	0.0016975
450	-153.534	-156.227	2.69268	0.342492	0.657508	0.126254	0.172845	0.791252	0.0359027	0.00225039
460	-152.183	-154.983	2.79945	0.727417	0.272583	0.104924	0.197218	0.370819	0.431963	0.00103052
470	-143.345	-144.689	1.34341	0.424059	0.575941	0.178505	0.437931	0.279179	0.28289	0.00125671
480	-144.933	-139.318	-5.6149	0.538622	0.461378	0.868803	0.461916	0.17435	0.363734	0.00199085
490	-142.98	-139.137	-3.84301	0.297672	0.702328	0.750885	0.239702	0.604586	0.155713	0.00175713
500	-142.967	-138.216	-4.75061	0.145004	0.854996	0.820335	0.29706	0.578333	0.124607	0.00375883
510	-141.911	-143.522	1.61104	0.145491	0.854509	0.130946	0.526991	0.160519	0.31249	0.00539063
520	-147.199	-149.731	2.5319	0.208837	0.791163	0.0493946	0.474571	0.258218	0.267211	0.0042862
530	-142.004	-141.54	-0.46376	0.454233	0.545767	0.401644	0.271535	0.165612	0.562853	0.00185087
540	-147.481	-147.048	-0.432759	0.672919	0.327081	0.365816	0.388794	0.210604	0.400602	0.00227282
550	-145.35	-138.792	-6.55843	0.686011	0.313989	0.962736	0.467483	0.242321	0.290197	0.00133262
560	-141.395	-142.689	1.29388	0.655929	0.344071	0.44934	0.0227391	0.783069	0.194192	0.00159166
570	-142.37	-144.137	1.76704	0.428861	0.571139	0.167066	0.306074	0.3974	0.296526	0.0025735
580	-143.974	-141.882	-2.09196	0.478901	0.521099	0.522318	0.431772	0.0282671	0.539961	0.00225494
590	-141.489	-140.673	-0.815766	0.186918	0.813082	0.425474	0.304654	0.406986	0.28836	0.00286419
600	-140.765	-139.845	-0.919772	0.354214	0.645786	0.505818	0.141186	0.789186	0.0696284	0.00214008
610	-143.109	-142.554	-0.555016	0.351321	0.648679	0.397806	0.315136	0.502541	0.182323	0.001413
620	-144.062	-139.121	-4.94163	0.544328	0.455672	0.819065	0.381293	0.430832	0.187875	0.00166481
