Genus;;;;;
Acanthognathus;Acanthognathus;;;;
Acanthomyrmex;Acanthomyrmex;;;;
Acanthoponera;Acanthoponera;;;;
Acanthostichus;Acanthostichus;;;;
Acromyrmex;Acromyrmex;;;;
Acropyga;Acropyga;;;;
Adelomyrmex;Adelomyrmex;;;;
Adetomyrma;Adetomyrma;;;;
Adlerzia;Adlerzia;;;;
;Aenictogiton;;;;
Aenictus;Aenictus;;;;
Agraulomyrmex;Aglyptacros;;;;
Alloformica;;;;;
Allomerus;Allomerus;;;;
Amblyopone;Amblyopone;;;;
;Amyrmex;;;;
Ancyridris;Ancyridris;;;;
Aneuretus;Aneuretus;;;;
Anillidris;;;;;
Anillomyrma;Anillomyrma;;;;
Ankylomyrma;Ankylomyrma;;;;
Anochetus;Anochetus;;;;
Anomalomyrma;;;;;
Anonychomyrma;Anonychomyrma;;;;
Anoplolepis;Anoplolepis;;;;
Aphaenogaster;Aphaenogaster;;Aphaenogaster;;
;Apis;;;;
Aphomomyrmex;;;;;
Apomyrma;Apomyrma;;;;
;Aporus;;;;
;Apterogyna;;;;
Apterostigma;Apterostigma;;;;
Aptinoma;Aptinoma;;;;
Arnoldius;Arnoldius;;;;
Asphinctanilloides;;;;;
Asphinctopone;;;;;
Atopomyrmex;Atopomyrmex;;;;
Atta;Atta;;;;
Austromorium;Austromorium;;;;
Austroponera;Austroponera;;;;
Axinidris;Axinidris;;;;
Azteca;Azteca;;;;
Bajcaridris;;;;;
Bannapone;;;;;
Baracidris;Baracidris;;;;
;Bariamyrma;;;;
Basiceros;Basiceros;;;;
Belonopelta;;;;;
Blepharidatta;Blepharidatta;;;;
Boloponera;;;;;
Bondroitia;;;;;
Bothriomyrmex;Bothriomyrmex;;;;
Bothroponera;Bothroponera;;;;
Brachymyrmex;Brachymyrmex;;;;
Brachyponera;Brachyponera;;;;
Buniapone;Buniapone;;;;
Calomyrmex;Calomyrmex;;;;
Calyptomyrmex;Calyptomyrmex;;;;
Camponotus;Camponotus;;Camponotus;;
Cardiocondyla;Cardiocondyla;;;;
Carebara;Carebara;;;;
Cataglyphis;Cataglyphis;;;;
Cataulacus;Cataulacus;;;;
Centromyrmex;Centromyrmex;;;;
Cephalotes;Cephalotes;;;;
Cerapachys;Cerapachys;;Cerapachys;Cerapachys;Cerapachys
;Chalybion;;;;
Cheliomyrmex;Cheliomyrmex;;;;
Chimaeridris;;;;;
Chronoxenus;Chronoxenus;;;;
;Chyphotes;;;;
Cladomyrma;;;;;
Colobostruma;Colobostruma;;;;
Concoctio;Concoctio;;;;
Crematogaster;Crematogaster;;;;
Cryptomyrmex;Cryptomyrmex;;;;
Cryptopone;Cryptopone;;;;
Cyatta;Cyatta;;;;
Cylindromyrmex;Cylindromyrmex;;;;
Cyphoidris;Cyphoidris;;;;
Cyphomyrmex;Cyphomyrmex;;;;
Dacatria;Dacatria;;;;
Dacetinops;Dacetinops;;;;
Daceton;Daceton;;;;
;Dasymutilla;;;;
Diacamma;Diacamma;;;;
Diaphoromyrma;Diaphoromyrma;;;;
Dicroaspis;Dicroaspis;;;;
Dilobocondyla;Dilobocondyla;;;;
Dinoponera;Dinoponera;;;;
Diplomorium;Diplomorium;;;;
Discothyrea;Discothyrea;;;;
Doleromyrma;Doleromyrma;;;;
Dolichoderus;Dolichoderus;;;;
Dolioponera;;;;;
Dolopomyrmex;Dolopomyrmex;;;;
Dorylus;Dorylus;;;;
Dorymyrmex;Dorymyrmex;;;;
Echinopla;;;;;
Eciton;Eciton;;;;
Ecphorella;;;;;
Ectatomma;Ectatomma;;;;
Ectomomyrmex;;;;;
Emeryopone;Emeryopone;;;;
Epelysidris;Epelysidris;;;;
Epopostruma;Epopostruma;;;;
Euponera;Euponera;;;;
Euprenolepis;Euprenolepis;;;;
Eurhopalothrix;Eurhopalothrix;;;;
Eutetramorium;Eutetramorium;;;;
;Evagetes;;;;
Feroponera;;;;;
Fisheropone;;;;;
Forelius;Forelius;;;;
Forelophilus;;;;;
Formica;Formica;;;;
Formicoxenus;Formicoxenus;;;;
Formosimyrma;;;;;
Froggattella;Froggattella;;;;
Furcotanilla;;;;;
Gauromyrmex;Gauromyrmex;;;;
Gesomyrmex;;;;;
Gigantiops;;;;;
Gnamptogenys;Gnamptogenys;;;;
Gaoligongidris;;;;;
Goniomma;Goniomma;;;;
Gracilidris;Gracilidris;;;;
Hagensia;Hagensia;;;;
Harpagoxenus;Harpagoxenus;;;;
Harpegnathos;Harpegnathos;;;;
Heteroponera;Heteroponera;;;;
Huberia;Huberia;;;;
Hylomyrma;Hylomyrma;;;;
Hypoponera;Hypoponera;;;;
Iberoformica;;;;;
Indomyrma;;;;;
Iridomyrmex;Iridomyrmex;;;;
Iroponera;;;;;
Ishakidris;;;;;
Kalathomyrmex;Kalathomyrmex;;;;
Kartidris;Kartidris;;;;
Kempfidris;Kempfidris;;;;
Labidus;Labidus;;;;
Lachnomyrmex;Lachnomyrmex;;;;
Lasiomyrma;;;;;
Lasiophanes;;;;;
Lasius;Lasius;;;;
Lenomyrmex;Lenomyrmex;;;;
Lepisiota;;;;;
Leptanilla;Leptanilla;;;;
Leptanilloides;Leptanilloides;;;;
Leptogenys;Leptogenys;;;;
Leptomyrmex;Leptomyrmex;;;;
Leptothorax;Leptothorax;;;;
Linepithema;Linepithema;;;;
Liometopum;Liometopum;;;;
Liomyrmex;Liomyrmex;;;;
Loboponera;Loboponera;;;;
Lophomyrmex;Lophomyrmex;;;;
Lordomyrma;Lordomyrma;;;;
Loweriella;Loweriella;;;;
Malagidris;Malagidris;;;;
Manica;Manica;;;;
Martialis;Martialis;;;;
Mayaponera;Mayaponera;;;;
Mayriella;Mayriella;;;;
Megalomyrmex;Megalomyrmex;;;;
Megaponera;Megaponera;;;;
Melissotarsus;Melissotarsus;;;;
Melophorus;Melophorus;;;;
Meranoplus;Meranoplus;;;;
Mesoponera;Mesoponera;;;;
Mesostruma;Mesostruma;;;;
Messor;Messor;;;;
;Metapolybia;;;;
Metapone;Metapone;;;;
Microdaceton;Microdaceton;;;;
;Mischocyttarus;;;;
Monomorium;Monomorium;;;;
Mycetagroicus;Mycetagroicus;;;;
Mycetarotes;Mycetarotes;;;;
Mycetophylax;Mycetophylax;;;;
Mycetosoritis;Mycetosoritis;;;;
Mycocepurus;Mycocepurus;;;;
Myopias;Myopias;;;;
Myopopone;Myopopone;;;;
Myrcidris;Myrcidris;;;;
Myrmecia;Myrmecia;;;;
Myrmecina;Myrmecina;;;;
Myrmecocystus;Myrmecocystus;;;;
Myrmecorhynchus;Myrmecorhynchus;;;;
Myrmelachista;Myrmelachista;;;;
Myrmica;Myrmica;;;;
Myrmicaria;Myrmicaria;;;;
Myrmicocrypta;Myrmicocrypta;;;;
Myrmisaraka;Myrmisaraka;;;;
Myrmoteras;Myrmoteras;;;;
