Iteration	Posterior	Likelihood	Prior	alpha_morpho	br_len_lambda	br_lens[1]	br_lens[2]	br_lens[3]	br_lens[4]	br_lens[5]	br_lens[6]	br_lens[7]	br_lens[8]	br_lens[9]	br_lens[10]	br_lens[11]	br_lens[12]	br_lens[13]	br_lens[14]	br_lens[15]	br_lens[16]	br_lens[17]	br_lens[18]	br_lens[19]	br_lens[20]	br_lens[21]	br_lens[22]	br_lens[23]	br_lens[24]	br_lens[25]	br_lens[26]	br_lens[27]	br_lens[28]	br_lens[29]	br_lens[30]	br_lens[31]	br_lens[32]	br_lens[33]	dir_alpha	matrix_probs[1]	matrix_probs[2]	matrix_probs[3]	matrix_probs[4]	pi_prior[1]	pi_prior[2]	rates_morpho[1]	rates_morpho[2]	rates_morpho[3]	rates_morpho[4]	tree_length
0	-659.63	-634.714	-24.9159	0.0975539	3.39504	0.125185	0.278476	0.53175	0.0577328	0.284139	0.0882977	0.209495	0.29088	0.70777	0.358137	0.313331	0.11977	0.728181	0.178438	0.112147	0.345654	0.350801	0.153202	0.07429	0.0722813	0.218094	0.0465629	0.523888	0.521668	0.362597	0.0854221	0.091057	0.0426882	0.0566853	0.0167919	0.0953289	0.282688	0.414172	2.22026	0.133648	0.57873	0.0790467	0.208575	2.22026	2.22026	3.72069e-07	0.00090648	0.0872553	3.91184	8.1376
10	-476.094	-443.42	-32.6735	0.725267	4.13953	0.180369	0.0529192	0.267699	0.210348	0.163915	0.0738193	0.0703966	0.197547	0.218673	0.451467	0.647057	0.122387	0.240732	0.204967	0.0927887	0.5312	0.289939	0.208555	0.16381	0.206704	0.255601	0.02401	1.18737	0.107362	0.0859465	0.118716	0.112035	0.204894	0.0956215	0.0125067	0.104378	1.44486	1.51495	2.08013	0.41994	0.254655	0.0565312	0.268873	2.08013	2.08013	0.0795913	0.375212	0.933883	2.61131	9.86355
20	-464.831	-431.93	-32.9009	0.733617	3.55625	0.110524	0.040154	0.175073	0.220257	0.281191	0.127382	0.0475461	0.151829	0.388754	0.541551	1.11166	0.0834491	0.198111	0.0869234	0.109306	0.174196	0.431848	0.796551	0.310857	0.562838	0.197488	0.00842922	0.400614	0.0272866	0.112554	0.0850491	0.0808095	0.0799209	0.00636418	0.0270231	0.21011	0.44906	2.37411	3.32889	0.0629532	0.860161	0.00825404	0.0686322	3.32889	3.32889	0.0813784	0.378969	0.936716	2.60294	10.0088
30	-459.527	-426.928	-32.5995	0.810666	3.76306	0.118726	0.24428	0.269381	0.185374	0.413259	0.088489	0.0212877	0.136649	0.123418	0.499402	0.43351	0.0519663	0.068772	0.0974136	0.199877	0.149238	1.03025	1.25345	0.17657	0.303121	0.464368	0.0326819	0.231156	0.0747275	0.0779387	0.263177	0.0911609	0.229729	0.00321004	0.0179181	0.0756063	0.810501	1.75506	1.01548	0.208098	0.666333	0.0135162	0.112053	1.01548	1.01548	0.0978263	0.411393	0.959867	2.53091	9.99167
40	-441.016	-413.986	-27.0297	0.460136	3.45431	0.0979054	0.293871	0.213733	0.11155	0.175969	0.0481601	0.0198894	0.136632	0.0692301	0.515117	0.17558	0.0625782	0.037769	0.14339	0.16155	0.30277	0.737979	0.935643	0.14469	0.616536	0.309365	0.129281	0.174221	0.0936105	0.0158764	0.0844898	0.270878	0.223889	0.00579081	0.144821	0.0675273	0.902123	1.18111	0.890994	0.801521	0.0773727	0.00807696	0.113029	0.890994	0.890994	0.026259	0.225097	0.788945	2.9597	8.60353
50	-438.845	-413.387	-25.4587	0.726915	4.58386	0.0421408	0.249464	0.0793675	0.16827	0.147475	0.0922233	0.0680113	0.263249	0.0330487	0.56623	0.109725	0.0117921	0.0296186	0.0824216	0.165995	0.131034	0.287803	1.23754	0.111048	0.598542	0.230414	0.197576	0.205102	0.200089	0.0323798	0.0823064	0.995143	0.13367	0.00552357	0.344236	0.0207089	0.203777	1.09151	0.688602	0.637536	0.195765	0.0108277	0.155871	0.688602	0.688602	0.079944	0.375957	0.934448	2.60965	8.21743
60	-428.201	-402.325	-25.876	1.0485	3.26479	0.11123	0.3097	0.0414275	0.173365	0.237338	0.0837002	0.0827524	0.124522	0.0832999	0.572479	0.16598	0.00520306	0.0797555	0.0421188	0.254638	0.225807	0.274092	0.521708	0.108402	1.00922	0.240511	0.409807	0.137194	0.181564	0.053879	0.0701453	0.722022	0.101014	0.0039521	0.346562	0.0646155	0.0973715	2.00803	0.638675	0.721383	0.100022	0.00975381	0.16884	0.638675	0.638675	0.146528	0.49086	1.00759	2.35502	8.94341
70	-411.772	-388.734	-23.0381	0.681499	2.91904	0.0572784	0.221141	0.0476537	0.303163	0.363228	0.0821959	0.202455	0.0857768	0.0519692	0.300254	0.0618864	0.00943354	0.10256	0.0712224	0.0964085	0.192496	0.317556	0.989494	0.209337	0.701477	0.357052	0.104438	0.0666764	0.0694496	0.0625221	0.319349	1.09607	0.128948	0.0193961	0.223053	0.0247734	0.0785082	1.43459	0.621769	0.801842	0.0309839	0.002006	0.165169	0.621769	0.621769	0.0702415	0.354668	0.917815	2.65728	8.4518
80	-418.044	-390.618	-27.4257	0.559468	3.32545	0.102976	0.133509	0.132046	0.306921	0.263977	0.274333	0.0412946	0.114151	0.0738917	0.608152	0.0842827	0.010623	0.162674	0.227319	0.217706	0.235986	0.816919	0.503918	0.794993	0.492228	0.230449	0.0483376	0.0149794	0.100258	0.0539761	0.725104	1.31315	0.0537698	0.0103461	0.131763	0.0229415	0.140109	2.98689	0.159228	0.802374	0.0835053	0.000358226	0.113762	0.159228	0.159228	0.0448713	0.288977	0.859143	2.80701	11.43
90	-385.135	-371.23	-13.9058	0.773645	3.54676	0.15118	0.085642	0.037054	0.486308	0.200203	0.0578604	0.0077295	0.0216836	0.0305243	0.221718	0.0922942	0.0147728	0.0915492	0.0655707	0.183752	0.207217	0.336421	0.400862	1.32316	0.888168	0.244716	0.128253	0.0408583	0.198274	0.0208207	0.786415	0.934998	0.0133788	0.0347005	0.16569	0.0609412	0.119018	0.725562	0.105641	0.675851	0.0662528	0.000985541	0.256911	0.105641	0.105641	0.0899396	0.396303	0.949376	2.56438	8.3773
