taxon	age
Alouatta_palliata	0.0
Aotus_trivirgatus	0.0
Callicebus_donacophilus	0.0
Cebus_albifrons	0.0
Cheirogaleus_major	0.0
Chlorocebus_aethiops	0.0
Colobus_guereza	0.0
Daubentonia_madagascariensis	0.0
Galago_senegalensis	0.0
Hylobates_lar	0.0
Lemur_catta	0.0
Lepilemur_hubbardorum	0.0
Loris_tardigradus	0.0
Macaca_mulatta	0.0
Microcebus_murinus	0.0
Nycticebus_coucang	0.0
Otolemur_crassicaudatus	0.0
Pan_paniscus	0.0
Perodicticus_potto	0.0
Propithecus_coquereli	0.0
Saimiri_sciureus	0.0
Tarsius_syrichta	0.0
Varecia_variegata_variegata	0.0
Absarokius	49.5
Abuqatrania	31.2
Adapis	35.6
Aegyptopithecus	31.2
Afradapis	35.6
Aframonius	31.2
Afrotarsius	31.2
Altanius	52.2
Altiatlasius	57.3
Amphipithecus	38.8
Anaptomorphus	48.3
Anchomomys	34.4
Anemorhysis	48.3
Apidium	31.2
Arapahovius	53.1
Arsinoea	31.2
Asiadapis	52.2
Aycrossia	48.3
Bahinia	38.8
Barnesia	42.9
Biretia	35.6
Branisella	25.0
Bugtipithecus	31.2
Caenopithecus	38.8
Cantius	45.4
Catopithecus	31.2
Darwinius	44.5
Djebelemur	48.1
Dolichocebus	19.3
Donrussellia	52.2
Dyseolemur	43.3
Eosimias	42.9
Europolemur	44.5
Godinotia	51.9
Hemiacodon	45.4
Hoanghonius	35.6
Karanisia	35.6
Komba	18.0
Leptadapis	35.6
Loveina	53.1
Macrotarsius	38.8
Mahgarita	38.8
Marcgodinotius	52.2
Microadapis	38.8
Microchoerus	32.8
Moeripithecus	31.2
Myanmarpithecus	37.2
Nannopithex	42.9
Necrolemur	35.6
Nycticeboides	10.0
Oligopithecus	31.2
Omomys	43.8
Panobius	44.5
Parapithecus	31.2
Phenacopithecus	42.9
Phileosimias	31.2
Plesiadapis	54.5
Plesiolestes	60.1
Plesiopithecus	31.2
Pondaungia	38.8
Pronycticebus	42.9
Propliopithecus	31.2
Proteopithecus	31.2
Protoadapis	44.5
Pseudoloris	34.4
Purgatorius	61.4
Qatrania	31.2
Rencunius	35.6
Rooneyia	38.8
Saharagalago	35.6
Serapia	31.2
Shoshonius	48.3
Siamopithecus	35.6
Steinius	53.1
Strigorhysis	48.3
Taqah	31.2
Teilhardina	53.1
Tetonius	53.1
Tetonoides	48.3
Trogolemur	49.5
Uintanius	48.3
Wadilemur	31.2
Wailekia	36.0
Washakius	45.4
Xanthorhysis	42.9
