Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-827.344606560319	3	3	0
200	-831.299428269497	3	4	0
300	-823.452232611397	4	1	0
400	-829.840264484249	4	3	0
500	-846.93294689926	6	3	0
600	-836.97429994399	5	3	0
700	-849.24244291502	6	4	0
800	-831.135703773455	5	2	0
900	-825.806295944394	2	2	0
1000	-822.623313512625	2	3	0
1100	-818.84751778309	2	2	0
1200	-820.907165031239	2	2	0
1300	-827.954131042524	4	2	0
1400	-834.91687229399	4	4	0
1500	-828.732512801114	3	3	0
1600	-819.004240766836	2	2	0
1700	-825.88520922078	3	3	0
1800	-838.640328321918	2	5	0
1900	-847.015385277569	5	5	0
2000	-834.568228346499	2	6	0
2100	-846.035834512034	4	6	0
2200	-833.79845219132	2	5	0
2300	-837.976433606735	7	3	0
2400	-817.183128835066	3	1	0
2500	-825.972533802271	3	4	0
2600	-836.408789993146	3	5	0
2700	-831.712357249351	6	2	0
2800	-826.050968748076	3	3	0
2900	-854.42730227872	8	4	0
3000	-832.513133711257	4	4	0
3100	-845.16245024822	6	4	0
3200	-830.105824693853	3	4	0
3300	-848.132806658502	3	8	0
3400	-845.992766269518	4	5	0
3500	-846.777832271636	4	6	0
3600	-846.809867886747	3	7	0
3700	-844.626720800221	4	6	0
3800	-848.364843672021	4	8	0
3900	-852.010562433392	7	5	0
4000	-843.549146636338	6	4	0
4100	-830.852161602869	4	4	0
4200	-841.961564245315	4	6	0
4300	-855.296633856687	7	5	0
4400	-854.475323814771	8	4	0
4500	-846.322072647953	4	5	0
4600	-842.687061099221	6	3	0
4700	-855.337143392438	6	6	0
4800	-843.962076992607	8	2	0
4900	-834.501499411931	7	1	0
5000	-832.960321770429	6	2	0
5100	-852.636097486678	6	5	0
5200	-823.276268957255	4	1	0
5300	-836.256082612326	4	4	0
5400	-837.207658811447	7	1	0
5500	-825.699301672895	4	2	0
5600	-820.826878425673	3	2	0
5700	-827.403830640191	4	2	0
5800	-854.221398944087	7	5	0
5900	-840.027000389172	4	6	0
6000	-824.575311625271	3	3	0
6100	-834.446015986759	5	3	0
6200	-820.745720737439	4	1	0
6300	-824.682515981302	4	1	0
6400	-831.965624158214	5	2	0
6500	-842.205621914748	5	4	0
6600	-847.02598569032	4	6	0
6700	-856.456940204631	7	5	0
6800	-827.572310441173	3	3	0
6900	-825.253446568622	4	2	0
7000	-823.175670612485	3	2	0
7100	-829.704767558722	5	2	0
7200	-819.006104611231	2	2	0
7300	-829.99590101019	3	4	0
7400	-849.520965028253	5	6	0
7500	-834.845996894698	5	3	0
7600	-829.207382578503	2	4	0
7700	-824.805902711013	2	3	0
7800	-817.595282330013	2	2	0
7900	-817.855709741478	2	2	0
8000	-848.932060944724	3	8	0
8100	-835.984793731025	4	5	0
8200	-829.005779608732	4	3	0
8300	-835.504765373274	3	6	0
8400	-834.042177783634	4	3	0
8500	-835.168528799192	4	5	0
8600	-843.558353591634	8	2	0
8700	-849.421121653475	5	6	0
8800	-833.877358769071	5	2	0
8900	-825.856757002838	4	2	0
9000	-821.666793462296	3	2	0
9100	-832.528482729642	4	3	0
9200	-834.881351940685	6	2	0
9300	-832.7761063811	3	5	0
9400	-820.144495525023	2	3	0
9500	-827.043834820267	2	3	0
