Iteration	posterior	NumSpeciation	numExtinction	numMassExtinctions 
100	-110.942232093462	3	4	0
200	-108.784323183874	3	2	0
300	-115.079459207149	4	5	0
400	-117.359650785351	2	7	0
500	-100.046417151166	4	1	0
600	-111.053966832285	4	3	0
700	-127.598955973057	5	6	0
800	-108.459767420456	2	3	0
900	-110.727182034618	4	2	0
1000	-98.9086765750718	3	1	0
1100	-125.204160749185	7	3	0
1200	-105.71839602699	3	3	0
1300	-107.045136608992	2	4	0
1400	-100.088297588305	3	1	0
1500	-103.804745639714	3	3	0
1600	-101.372822286431	2	4	0
1700	-95.57356312319	3	1	0
1800	-117.394848387281	6	2	0
1900	-101.334674225344	4	1	0
2000	-103.793340655035	2	4	0
2100	-103.981928602907	3	2	0
2200	-101.948123757794	3	2	0
2300	-99.7614119882409	3	2	0
2400	-92.2178354476071	2	1	0
2500	-107.486701272019	4	3	0
2600	-107.50394524853	3	4	0
2700	-106.702211370397	3	3	0
2800	-104.705847018355	2	2	0
2900	-102.771505737633	3	2	0
3000	-100.949117664945	3	2	0
3100	-105.558830686375	4	2	0
3200	-99.6398997712613	2	2	0
3300	-125.830035258073	5	4	0
3400	-108.699610588747	2	3	0
3500	-108.376627668865	3	1	0
3600	-107.577363789833	3	1	0
3700	-109.359435342327	4	1	0
3800	-108.301429025409	2	2	0
3900	-113.780221018829	4	2	0
4000	-105.005731550157	2	3	0
4100	-108.435606293112	3	1	0
4200	-115.016971921688	3	3	0
4300	-102.221530138728	3	1	0
4400	-107.101291629677	3	1	0
4500	-105.207338960822	3	3	0
4600	-106.49067550874	5	1	0
4700	-94.8207006391061	2	2	0
4800	-99.6671529042405	2	3	0
4900	-94.6040237865013	2	1	0
5000	-102.656149632183	3	2	0
5100	-97.6601827294779	2	1	0
5200	-102.630633853695	4	2	0
5300	-101.14580995107	4	1	0
5400	-109.11545626472	5	1	0
5500	-118.552188829954	5	3	0
5600	-115.023632218816	3	4	0
5700	-98.5944363054239	2	3	0
5800	-95.7578379602471	2	2	0
5900	-107.936691618701	4	2	0
6000	-111.48889005887	2	4	0
6100	-109.438533396769	4	2	0
6200	-109.720469069337	3	4	0
6300	-106.79169645096	5	2	0
6400	-96.8822602378679	3	1	0
6500	-99.0918640192885	3	1	0
6600	-95.6896944485457	3	1	0
6700	-101.338032004356	2	3	0
6800	-97.2779615248333	3	1	0
