simID,mean_rf,quantile25,quantile50,quantile75,quantile99,quantile999,mean_tl,var_tl,entropy
1,1.5,0,2,2,10,0,3.91255,0.11574,254.458
2,2.76,2,2,4,10,0,3.8889,0.167637,235.44
3,0.36,0,0,0,10,0,3.61389,0.128724,321.425
4,3.72,2,4,4,10,0,3.41436,0.176483,163.868
5,1.66,0,2,2,10,0,3.48092,0.0804827,230.53
6,5.52,4,6,6,10,2,3.5572,0.218927,183.991
7,4.76,4,6,6,10,0,4.1698,0.115994,244.409
8,2.22,2,2,4,10,0,3.37412,0.100596,215.401
9,1.54,0,2,2,10,0,3.39269,1.34052,258.849
10,4.36,4,4,6,10,0,3.97727,0.275062,230.716
11,4.1,2,4,6,8,0,3.55763,0.216616,106.14
12,3.46,2,4,4,6,0,3.79937,0.103428,210.116
13,3.08,2,4,4,10,0,3.47584,0.129567,253.703
14,1.5,0,2,2,10,0,3.68106,0.0914318,275.619
15,2.4,2,2,4,8,0,3.43439,0.0901358,292.529
16,1.66,0,2,2,8,0,3.70748,0.147739,287.237
17,3.32,2,4,4,10,0,3.75056,0.0954708,155.45
18,1.92,2,2,2,10,0,3.70624,0.110945,245.156
19,2.32,2,2,4,8,0,3.18466,0.561369,222.835
20,1.06,0,0,2,10,0,3.69816,0.0928229,394.366
21,3.44,2,4,4,10,0,3.66185,0.11466,205.082
22,3.04,2,4,4,10,0,3.963,0.129859,247.035
23,4.24,4,4,6,10,0,3.91935,0.203154,249.326
24,1.9,2,2,2,10,0,3.3101,0.0858249,285.455
25,3.46,2,4,4,10,0,3.9224,0.146408,146.164
26,4.22,2,4,6,8,0,3.93918,0.186955,251.956
27,3.56,2,4,4,10,0,3.68529,0.122498,166.672
28,4.54,4,4,6,10,0,4.34614,0.17496,124.571
29,3.48,2,4,4,10,0,3.62153,0.0958729,259.04
30,1.9,2,2,2,10,0,3.97001,0.115398,265.923
31,2.48,2,2,4,10,0,2.98703,0.531539,293.163
32,2.94,2,2,4,10,0,3.43177,0.102188,256.875
33,3.2,2,4,4,10,0,3.66402,0.127499,168.429
34,3.68,2,4,4,10,0,3.75774,0.1296,172.349
35,3.34,2,4,4,10,0,4.08512,0.120906,171.726
36,3.62,2,4,6,10,0,3.6121,0.0935294,170.136
37,3.3,2,4,4,8,0,4.20343,0.13303,246.73
38,2.9,2,2,4,10,0,3.59029,0.109118,211.873
39,3.02,2,4,4,10,0,3.4546,0.108437,204.812
40,4.64,4,4,6,8,0,3.80946,0.284124,116.803
41,1.62,2,2,2,10,0,3.41883,0.107446,288.113
42,2.3,2,2,4,10,0,3.65439,0.129037,215.431
43,2.78,2,2,4,10,0,3.8132,0.15096,242.683
44,4.3,4,4,6,10,0,4.41815,0.149589,160.359
45,2.4,2,2,4,10,0,3.66478,0.102872,205.305
46,2.7,2,2,4,8,0,3.7744,0.144815,169.053
47,3.18,2,4,4,10,0,3.26441,0.332362,305.488
48,2.18,2,2,4,6,0,3.64136,0.117191,357.033
49,1.86,2,2,2,10,0,3.58898,0.109729,226.096
50,3.42,2,4,4,10,0,3.94159,0.0886239,272.348
51,2.02,2,2,2,8,0,3.65405,0.0787401,284.873
52,3.14,2,4,4,8,0,4.07395,0.121951,218.528
53,4.38,4,4,6,10,0,3.88648,0.129409,170.889
54,3.38,2,4,4,10,0,3.81817,0.122738,142.081
55,1.32,0,2,2,10,0,4.08833,0.133588,330.468
56,3.86,4,4,4,10,2,3.8594,0.151567,205.483
57,2.3,2,2,4,10,0,3.52965,0.0936575,214.22
58,2.46,2,2,4,10,0,3.90744,0.138792,296.918
59,6.8,6,8,8,8,2,3.77852,0.146688,102.078
60,3.56,2,4,6,10,0,3.89081,0.15117,152.007
61,2.54,2,2,4,10,0,3.98165,0.200806,232.845
62,3.86,2,4,4,10,0,2.32792,0.442318,163.419
63,1.4,0,2,2,10,0,3.9747,0.433995,354.442
64,2.98,2,4,4,10,0,3.65416,0.105866,177.181
65,4.6,4,6,6,10,0,3.16481,0.0730579,133.354
66,3.06,2,4,4,10,0,4.02423,0.192929,192.08
67,2.94,2,2,4,10,0,4.06175,0.152943,164.631
68,2.04,2,2,2,10,0,3.93849,0.11632,244.721
69,1.36,0,2,2,4,0,4.05755,0.170828,264.649
70,0.24,0,0,0,8,0,3.32813,0.114857,317.222
71,2.76,2,4,4,8,0,3.67392,0.150386,289.385
72,2.94,2,2,4,10,0,3.78016,0.108696,188.698
73,2.12,2,2,2,6,0,3.81838,0.124125,301.316
74,2.62,0,4,4,8,0,3.76547,0.139927,273.01
75,1.9,2,2,2,10,0,3.79374,0.121136,253.039
76,2.68,2,2,4,10,0,3.45953,0.0997393,237.385
77,3.68,4,4,4,10,2,4.0103,0.140649,175.23
78,4.76,4,6,6,10,0,3.33578,0.094654,143.618
79,1.44,0,2,2,10,0,3.81831,0.102317,292.43
80,1.88,0,2,2,8,0,3.29896,0.151115,196.542
81,1.24,0,2,2,10,0,3.30797,0.115114,334.233
82,5.32,4,6,8,10,0,3.9187,0.141018,112.909
83,3.7,2,4,4,10,0,3.54271,0.102168,170.645
84,2.22,2,2,2,8,0,4.08986,0.238432,296.368
85,3.56,2,4,4,10,0,3.48966,0.114138,208.743
86,2.88,2,2,4,10,0,3.81773,0.146502,276.994
87,2.78,2,2,4,10,0,4.07734,0.148379,229.384
88,1.44,0,2,2,10,0,3.35192,0.105319,293.914
89,4.26,4,4,6,10,0,4.13434,0.191741,240.209
90,3.58,2,4,4,10,0,4.2198,0.201159,196.532
91,4.4,4,4,6,10,0,3.25394,0.0989118,244.335
92,3.54,2,4,6,10,0,3.60953,0.11933,184.048
93,0.82,0,0,2,10,0,3.468,0.0898508,285.877
94,2.7,2,2,4,8,0,3.4047,0.244307,297.554
95,5.2,4,4,6,10,0,3.52353,0.158094,117.76
96,2.08,2,2,2,10,0,3.69978,0.157366,218.97
97,3.34,2,4,4,10,0,4.1427,0.142543,212.982
98,2.82,2,2,4,10,0,1.53861,0.0228014,223.691
99,1.26,0,2,2,10,0,4.62948,0.169955,338.574
100,3.24,2,4,4,10,0,3.22044,0.433502,219.747
