SimID,Number Invariant Sites,Number Invariant Sites Excluding Ambiguous,Max GC,Max GC Excluding Ambiguous,Max Invariant Block Length,Max Invariant Block Length Excluding Ambiguous,Max Pairwise Difference,Max Pairwise Difference Excluding Ambiguous,Max Variable Block Length,Max Variable Block Length Excluding Ambiguous,Min GC,Min GC Excluding Ambiguous,Min Pairwise Difference,Min Pairwise Difference Excluding Ambiguous,Number Invariable Block,Number Invariable Block Excluding Ambiguous,Mean GC,Mean GC Excluding Ambiguous,Mean GC 1,Mean GC 1 Excluding Ambiguous,Mean GC 2,Mean GC 2 Excluding Ambiguous,Mean GC 3,Mean GC 3 Excluding Ambiguous,Var GC,Var GC Excluding Ambiguous,Var GC 1,Var GC 1 Excluding Ambiguous,Var GC 2,Var GC 2 Excluding Ambiguous,Var GC 3,Var GC 3 Excluding Ambiguous,Theta,Tajima-D,Tajima-Pi,Segregating-Sites,Multinomial-Likelihood
1,58,62,0.499562,0.5,2,2,493,493,121,121,0.460999,0.467544,145,145,54,58,0.480928,0.482626,0.46799,0.470334,0.494966,0.496379,0.479863,0.481179,0.000105414,9.08216e-05,0.000233285,0.000229213,0.000343197,0.000354385,0.000303871,0.00026425,0.25717,0.825366,0.309153,1083,8226.91
2,47,52,0.542507,0.542507,1,1,511,511,109,109,0.502191,0.508772,153,153,47,52,0.524216,0.526063,0.52676,0.529362,0.529748,0.531207,0.516133,0.517615,8.54486e-05,6.48454e-05,0.000215314,0.000172421,0.000302562,0.000259173,9.53296e-05,0.000116286,0.259782,1.00837,0.323934,1094,8201.88
3,38,42,0.51709,0.517544,1,2,525,526,112,112,0.47064,0.483333,159,159,38,41,0.497199,0.498936,0.499601,0.50206,0.487643,0.488979,0.504348,0.505769,0.000132413,9.99678e-05,0.000572443,0.000528716,0.000319424,0.000276895,0.000242448,0.000235334,0.261919,0.979748,0.324762,1103,8174.22
4,53,59,0.544259,0.544737,2,2,470,470,80,80,0.473269,0.473684,133,133,51,57,0.512746,0.514502,0.537373,0.539974,0.499542,0.500905,0.501259,0.502617,0.000306545,0.000238783,0.000687822,0.000593891,0.000379774,0.000330044,0.000484686,0.000425976,0.258358,0.797615,0.308823,1088,8231.52
5,46,53,0.50745,0.50745,2,2,497,497,113,113,0.462752,0.477193,173,173,44,50,0.49034,0.492048,0.500285,0.50277,0.470137,0.471414,0.500572,0.501956,0.0001104,7.38397e-05,0.000190936,0.000165023,0.000234017,0.000184665,0.000245668,0.000212305,0.26002,0.746403,0.307549,1095,8188.53
6,53,57,0.517967,0.517967,2,2,509,509,83,83,0.456617,0.473269,170,170,52,56,0.494913,0.49661,0.493096,0.495526,0.486041,0.487386,0.505606,0.506927,0.000177698,0.000116303,0.000264956,0.000223494,0.000418785,0.000388429,0.000487357,0.000383902,0.258358,0.787869,0.308207,1088,8216.94
7,52,55,0.54163,0.542105,1,1,532,533,67,67,0.508326,0.514912,160,160,52,55,0.524292,0.52616,0.534862,0.537579,0.500572,0.501944,0.537414,0.53895,8.34215e-05,8.43101e-05,0.000195259,0.000231026,0.000318533,0.000274737,0.000149317,0.000164567,0.258595,0.880764,0.314373,1089,8207.55
8,56,60,0.556529,0.557018,2,2,506,509,81,81,0.485539,0.517544,154,154,53,57,0.532713,0.534523,0.5287,0.531231,0.524371,0.525798,0.54508,0.546529,0.000222063,0.000134486,0.000551607,0.000431388,0.00041745,0.000359858,0.000452429,0.000356017,0.257645,0.810062,0.308758,1085,8250.69
9,50,51,0.516214,0.516667,2,2,540,541,94,94,0.452235,0.47807,177,177,48,49,0.496323,0.498008,0.498459,0.500867,0.489245,0.490585,0.501259,0.502578,0.000177431,0.000100922,0.000278499,0.000192239,0.000326938,0.000283869,0.000558153,0.000464899,0.25907,1.01947,0.32375,1091,8201.7
10,49,51,0.517967,0.517967,2,2,492,493,95,95,0.485539,0.492105,142,142,48,50,0.505506,0.507293,0.499943,0.502364,0.498398,0.499827,0.518192,0.519689,5.69715e-05,4.36914e-05,0.000258106,0.000176438,0.000188329,0.000205617,9.75027e-05,0.00012842,0.259307,1.03477,0.325018,1092,8210.25
